,price,highlights,address,area,num_rooms,floor,rent,online_property_inspection,ownership_status,flat_condition,perks,parking,heating,flat_description_bullets,neighborhood_bullets
https://www.otodom.pl/pl/oferta/budynek-mieszkalny-7-mieszkan-z-projektem-na-12-ID4mZdC,599 900 zł,Budynek mieszkalny 7 mieszkan z projektem na 12,"Boguszów, Boguszów-Gorce, wałbrzyski, dolnośląskie",330 m²,więcej niż 10,Zapytaj,200 zł,Zapytaj,Zapytaj,do remontu,Zapytaj,Zapytaj,piece kaflowe,[],[]
https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-w-mrowinach-blisko-zarowa-ID4mQkP,190 000 zł,"Na sprzedaż mieszkanie w Mrowinach, blisko Żarowa","ul. Wojska Polskiego, Mrowiny, Żarów, świdnicki, dolnośląskie","45,45 m²",2,1,250 zł,Zapytaj,pełna własność,do remontu,ogródek,Zapytaj,gazowe,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-z-osobna-kuchnia-ul-popowicka-ID4mYgv,640 000 zł,"Mieszkanie 3 pok. z osobną kuchnią, ul. Popowicka","ul. Popowicka 122, Popowice Północne, Fabryczna, Wrocław, dolnośląskie","54,1 m²",3,3/4,530 zł,Zapytaj,pełna własność,Zapytaj,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/2pok-50-m-urzadzone-10-min-od-centrum-wroclaw-ID4mYq1,720 000 zł,"2pok. 50 m, urządzone, 10 min od centrum Wrocław","ul. Chorwacka, Różanka, Psie Pole, Wrocław, dolnośląskie",50 m²,2,1/4,520 zł,tak,pełna własność,do zamieszkania,"balkon, taras",Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/3-pok-70-m2-gadow-maly-ID4mQ5v,735 000 zł,"3 pok., 70 m2 Gądów Mały","Gądów, Fabryczna, Wrocław, dolnośląskie","70,2 m²",3,2/10,1 200 zł,Zapytaj,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/ovo-taras-widok-top-wykonczenie-spacer-3d-ID4mX2W,3 205 980 zł,"Ovo, taras, widok, top wykończenie- spacer 3D","ul. Podwale, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie","118,77 m²",4,6/6,1 500 zł,Wirtualny spacer,pełna własność,Zapytaj,taras,garaż/miejsce parkingowe,miejskie,[],[]
https://www.otodom.pl/pl/oferta/4pok-dwa-poziomy-114m-fotowoltaika-w-centrum-ID4n6C5,679 000 zł,"4pok, dwa poziomy 114m² + fotowoltaika w centrum!","ul. Lwowska, Oleśnica, oleśnicki, dolnośląskie",114 m²,4,Zapytaj,Zapytaj,Wirtualny spacer,pełna własność,do zamieszkania,Zapytaj,Zapytaj,gazowe,[],[]
https://www.otodom.pl/pl/oferta/pilnie-2-pok-mieszkanie-wroclaw-ID4n6C2,460 000 zł,Pilnie 2 pok mieszkanie Wrocław,"ul. Rogowska, Nowy Dwór, Fabryczna, Wrocław, dolnośląskie",50 m²,2,3/4,Zapytaj,Zapytaj,pełna własność,Zapytaj,balkon,garaż/miejsce parkingowe,Zapytaj,[],[]
https://www.otodom.pl/pl/oferta/nowoczesne-dwupietrowe-mieszkanie-80-m2-ID4mBtA,789 000 zł,Nowoczesne dwupiętrowe mieszkanie - 80 m2,"Siechnice, Siechnice, wrocławski, dolnośląskie",80 m²,4,2/2,Zapytaj,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-45m-gaj-ul-w-rutkiewicz-ID4n3sX,560 000 zł,"Mieszkanie 2 pokoje (45m), Gaj ul. W.Rutkiewicz","ul. Wandy Rutkiewicz, Gaj, Krzyki, Wrocław, dolnośląskie","45,19 m²",2,parter/3,430 zł,Zapytaj,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/inwestycyjne-mieszkanie-w-centrum-wroclawia-ID4mWLZ,640 000 zł,Inwestycyjne mieszkanie w centrum Wrocławia,"ul. Ołowiana, Gajowice, Fabryczna, Wrocław, dolnośląskie","66,7 m²",3,4/4,414 zł,Zapytaj,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-na-starym-miescie-ID4n566,355 000 zł,Mieszkanie 2 pok. na Starym Mieście,"ul. Kotlarska, Głogów, głogowski, dolnośląskie",40 m²,2,3/4,320 zł,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,gazowe,[],[]
https://www.otodom.pl/pl/oferta/rozkladowe-2-pokojowe-gotowe-inwestycja-ID4n5Ve,634 000 zł,Rozkładowe 2-pokojowe GOTOWE/INWESTYCJA,"Muchobór Mały, Fabryczna, Wrocław, dolnośląskie","52,1 m²",2,3/10,700 zł,Zapytaj,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-mieszkanie-do-remontu-ID4n2R7,580 000 zł,Sprzedam 3-pokojowe mieszkanie do remontu,"ul. Spiżowa, Gajowice, Fabryczna, Wrocław, dolnośląskie","62,43 m²",3,parter/4,650 zł,Zapytaj,pełna własność,do remontu,Zapytaj,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-54m-4-pietro-ID4mFeS,160 000 zł,"Mieszkanie 2 pokoje, 54m, 4 piętro","ul. Leona Wyczółkowskiego, Bogatynia, Bogatynia, zgorzelecki, dolnośląskie","54,7 m²",2,4/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-ID4n2cn,180 000 zł,Sprzedam mieszkanie,"ul. Teatralna, Nowa Ruda, kłodzki, dolnośląskie",36 m²,2,parter/2,441 zł,Zapytaj,spółdzielcze wł. prawo do lokalu,Zapytaj,balkon,Zapytaj,elektryczne,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-29-90-m-legnica-ID4n2qZ,229 000 zł,"Mieszkanie, 29,90 m², Legnica","ul. Jagiellońska 13/17, Legnica, dolnośląskie","29,9 m²",1,1/4,290 zł,Zapytaj,pełna własność,Zapytaj,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/nowe-2017-srodmiescie-media-miejskie-ID4mC7B,899 000 zł,Nowe 2017! Śródmieście! Media miejskie!,"ul. kard. Stefana Wyszyńskiego, Ołbin, Śródmieście, Wrocław, dolnośląskie","66,71 m²",3,1/5,650 zł,tak,pełna własność,do zamieszkania,Zapytaj,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-46m-os-piast-klimatyzowane-ID4mSdc,273 000 zł,"Mieszkanie 46m os. Piast, klimatyzowane","Lubań, lubański, dolnośląskie",46 m²,2,3/4,Zapytaj,Zapytaj,pełna własność,do zamieszkania,Zapytaj,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-loggia-bez-prowizji-ID4kGmo,549 000 zł,2-pokojowe mieszkanie 46m2 + loggia Bez Prowizji,"Z. Gumińskiej/ul. Odolanowska, Zawidawie, Psie Pole, Wrocław, dolnośląskie","46,67 m²",2,3/4,Zapytaj,Wirtualny spacer,pełna własność,do wykończenia,Zapytaj,garaż/miejsce parkingowe,Zapytaj,"['2-pokojowe mieszkanie numer 14_3_29 na 3. piętrze w budynku 14 w Inwestycji Lokum Verde Dewelopera Lokum Deweloper', 'Strefa aktywnego wypoczynku, ścieżki spacerowo-rowerowe', 'Park Pawłowicki (11 minut spacerem)', 'Las Zakrzowski (4 minuty samochodem)', 'Lidl (4 minuty samochodem)', 'CH Korona, Cinema City (6 minut samochodem)']",[]
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-balkon-bezposrednio-ID4hOxA,617 505 zł,3-pokojowe mieszkanie 58m2 + balkon Bezpośrednio,"ul. Suwalska, Maślice, Fabryczna, Wrocław, dolnośląskie","58,81 m²",3,2/2,Zapytaj,Wirtualny spacer,pełna własność,do wykończenia,balkon,Zapytaj,Zapytaj,"['3-pokojowe mieszkanie numer E-2-3 na 2. piętrze w budynku B1 w Inwestycji Osiedle MaŚliczne Dewelopera CTE Investments', 'Kąpielisko Królewiecka (2 minuty rowerem)', 'Park Pilczycki, Las Pilczycki (11 minut rowerem)', 'Przystanek autobusowy (1 minuta spacerem)', 'Żabka (6 minut spacerem)', 'CH N-Park (10 minut spacerem)', 'Stacja kolejowa Wrocław Stadion (4 minuty samochodem)']",[]
https://www.otodom.pl/pl/oferta/jasne-piekne-mieszkanie-zielone-tereny-ID4n0n8,579 000 zł,"Jasne, piękne mieszkanie,zielone tereny","ul. Gwarecka, Pilczyce, Fabryczna, Wrocław, dolnośląskie","50,7 m²",2,1/4,680 zł,Zapytaj,pełna własność,do zamieszkania,Zapytaj,Zapytaj,kotłownia,[],[]
https://www.otodom.pl/pl/oferta/po-remoncie-3-pokoje-centrum-uniwersytet-al-krucza-ID4n0LS,679 000 zł,Po remoncie 3 POKOJE CENTRUM Uniwersytet al.Krucza,"ul. Krucza, Gajowice, Fabryczna, Wrocław, dolnośląskie","57,79 m²",3,4/4,452 zł,Zapytaj,pełna własność,do zamieszkania,Zapytaj,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-bezczynszowe-rynek-ID4mxKE,99 000 zł,Mieszkanie dwupokojowe bezczynszowe Rynek,"ul. Rynek, Kostomłoty, Kostomłoty, średzki, dolnośląskie","31,2 m²",2,2/2,10 zł,tak,pełna własność,do remontu,Zapytaj,Zapytaj,piece kaflowe,[],[]
https://www.otodom.pl/pl/oferta/2-pokojowe-umeblowane-centrum-wroclawia-ID4mzz7,419 000 zł,"2 -pokojowe, umeblowane, Centrum Wrocławia","Tarnogaj, Krzyki, Wrocław, dolnośląskie","31,89 m²",2,1/3,180 zł,Zapytaj,pełna własność,do zamieszkania,Zapytaj,Zapytaj,gazowe,[],[]
https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-2-pokojowe-mieszkanie-ID4mYSn,499 000 zł,Sprzedam bezpośrednio 2 pokojowe mieszkanie,"ul. Żelazna 56, Gajowice, Fabryczna, Wrocław, dolnośląskie","47,7 m²",2,7/8,500 zł,Zapytaj,pełna własność,do wykończenia,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-58m2-biskupin-okazja-remont-2022-ID4n0hk,700 000 zł,"Mieszkanie 58m2, Biskupin, okazja, remont 2022","ul. Bernarda Belotta Canaletta, Bartoszowice, Śródmieście, Wrocław, dolnośląskie",58 m²,5,1/4,800 zł,tak,pełna własność,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4iioj,824 262 zł,2-pokojowe mieszkanie 37m2 + balkon Bezpośrednio,"ul. Czysta, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie","37,91 m²",2,6/6,Zapytaj,Wirtualny spacer,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,Zapytaj,"['2-pokojowe mieszkanie numer 07.177 na 6. piętrze w Inwestycji Czysta 4 Dewelopera BPI Real Estate Poland', 'Taras widokowy na dachu', 'Strefa co-workingowa', 'Park Mikołaja Kopernika, promenada Staromiejska (3 minuty spacerem)', 'Rynek we Wrocławiu (10 minut spacerem)', 'Przystanek autobusowy (2 minuty spacerem), przystanek tramwajowy (4 minuty spacerem)', 'Stacja PKP ""Wrocław Główny"" (10 minut spacerem)', 'Opera Wrocławska (5 minut spacerem)', 'CH Arkady Wrocławskie (8 minut spacerem)']",[]
https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodem-72m2-trzy-pokoje-garaz-lux-ID4n21u,890 000 zł,"Mieszkanie z ogrodem 72m2, trzy pokoje, garaż,lux","Iwiny, Siechnice, wrocławski, dolnośląskie",72 m²,3,parter,Zapytaj,Zapytaj,pełna własność,do zamieszkania,"balkon, ogródek, taras",garaż/miejsce parkingowe,gazowe,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-w-gorach-karpacz-apartament-dwa-pokoje-ID4cDoT,510 000 zł,Mieszkanie w górach Karpacz apartament dwa pokoje,"ul. Bolesława Prusa, Karpacz, karkonoski, dolnośląskie","41,24 m²",4,parter/3,300 zł,Zapytaj,pełna własność,do zamieszkania,Zapytaj,garaż/miejsce parkingowe,miejskie,[],[]
